Missing data: 128 pets
[1/128] 鸭吉吉: still missing
[2/128] 板板壳: still missing
[3/128] 咔咔壳: still missing
[4/128] 水泡壳: still missing
[5/128] 雪绒鸟: still missing
[6/128] 冬羽雀: still missing
[7/128] 岚鸟: still missing
[8/128] 石肤蜥: still missing
[9/128] 石刺蜥: still missing
[10/128] 石冠王蜥: still missing
[11/128] 化蝶: ERROR ('Connection aborted.', ConnectionAbortedError(10053, '你的主机中的软件中止了一个已建立的连接。', None, 10053, None))
[12/128] 燕尾獭: traits stats
[13/128] 卷胡巨獭: traits stats
[14/128] 矿晶虫: traits stats
[15/128] 晶石蜗: still missing
[16/128] 钻石蜗: traits stats
[17/128] 奇丽草: traits stats
[18/128] 奇丽叶: traits stats
[19/128] 奇丽花: traits stats
[20/128] 奇丽果: traits stats
[21/128] 丢丢: still missing
[22/128] 卡卡虫: still missing
[23/128] 卡瓦重: still missing
[24/128] 护主犬: traits stats
[25/128] 音速犬: traits stats
[26/128] 风暴战犬: traits stats
[27/128] 绿耳松鼠: traits stats
[28/128] 抱枕松鼠: traits stats
[29/128] 蹦床松鼠: traits stats
[30/128] 嘟嘟煲: traits stats
[31/128] 嘟嘟锅: traits stats
[32/128] 小灵面: traits stats
[33/128] 暗影灵面: still missing
[34/128] 幽冥眼: still missing
[35/128] 梦游: still missing
[36/128] 梦悠悠: still missing
[37/128] 兽花蕾: traits stats
[38/128] 伏地兽: traits stats
[39/128] 贪食鼹: traits stats
[40/128] 巨噬针鼹: traits stats
[41/128] 蹦蹦种子: still missing
[42/128] 蹦蹦草: still missing
[43/128] 蹦蹦花: still missing
[44/128] 蹦蹦果: traits stats
[45/128] 电咩咩: traits stats
[46/128] 粉咩咩: traits stats
[47/128] 电球咩咩: traits stats
[48/128] 蒲公英: traits stats
[49/128] 蒲公英娃娃: traits stats
[50/128] 伊贝儿: traits stats
[51/128] 伊贝粉粉: traits stats
[52/128] 白发懒人: traits stats
[53/128] 动力猿: traits stats
[54/128] 瞌睡王: traits stats
[55/128] 海盔虫: still missing
[56/128] 刺盔虫: still missing
[57/128] 千棘盔: still missing
[58/128] 千棘海针: traits stats
[59/128] 菊花梨: ERROR ('Connection broken: IncompleteRead(38640 bytes read, 16143 more expected)', IncompleteRead(38640 bytes read, 16143 more expected))
[60/128] 小星光: still missing
[61/128] 星光狮: still missing
[62/128] 一窝蜂: traits stats
[63/128] 黄蜂后: traits stats
[64/128] 女王蜂: traits stats
[65/128] 花魁蜂后: traits stats
[66/128] 小夜: traits stats
[67/128] 紫夜: traits stats
[68/128] 朔夜伊芙: traits stats
[69/128] 乖乖鹄: traits stats
[70/128] 蓝珠天鹅: traits stats
[71/128] 翠顶夫人: traits stats
[72/128] 黑羽夫人: traits stats
[73/128] 锤头鹳: traits stats
[74/128] 绿草精灵: traits stats
[75/128] 魔草巫灵: traits stats
[76/128] 记忆石: traits stats
[77/128] 咔咔羽毛: traits stats
[78/128] 咔咔雀: traits stats
[79/128] 咔咔鸟: traits stats
[80/128] 小草虫: traits stats
[81/128] 草衣虫: traits stats
[82/128] 花衣蝶: ERROR ('Connection broken: IncompleteRead(23760 bytes read, 33646 more expected)', IncompleteRead(23760 bytes read, 33646 more expected))
[83/128] 绿翼鸟: traits stats
[84/128] 魔翼鸟: traits stats
[85/128] 魔眷鸟: traits stats
[86/128] 阿米亚特: traits stats
[87/128] 阿米樱: traits stats
[88/128] 罗隐: traits stats
[89/128] 风铃鲨: traits stats
[90/128] 蓝蝶鲨: traits stats
[91/128] 彩蝶鲨: traits stats
[92/128] 神谕鲨: traits stats
[93/128] 石石: ERROR ('Connection broken: IncompleteRead(28720 bytes read, 27634 more expected)', IncompleteRead(28720 bytes read, 27634 more expected))
[94/128] 巨灵石: traits stats
[95/128] 仪使者: traits stats
[96/128] 仪式之星: traits stats
[97/128] 仪式巨像: traits stats
[98/128] 祭礼巨像: ERROR ('Connection broken: IncompleteRead(23761 bytes read, 33470 more expected)', IncompleteRead(23761 bytes read, 33470 more expected))
[99/128] 小独角兽: traits stats
[100/128] 白金独角兽: traits stats
[101/128] 彩虹独角兽: ERROR ('Connection broken: IncompleteRead(36644 bytes read, 18293 more expected)', IncompleteRead(36644 bytes read, 18293 more expected))
[102/128] 旋叶虫: still missing
[103/128] 蓬叶虫: still missing
[104/128] 风滚暮虫: still missing
[105/128] 小黑猫: traits stats
[106/128] 黑猫巫师: traits stats
[107/128] 黑猫密探: traits stats
[108/128] 忽幽狸: traits stats
[109/128] 影狸: traits stats
[110/128] 多多: traits stats
[111/128] 小狮鹫: still missing
[112/128] 神圣狮鹫: still missing
[113/128] 皇家狮鹫: still missing
[114/128] 棋棋: still missing
[115/128] 棋骑士: still missing
[116/128] 棋齐垒: still missing
[117/128] 棋祈督: still missing
[118/128] 棋绮后: still missing
[119/128] 海枝枝: still missing
[120/128] 刺轮砣: still missing
[121/128] 月亮砣: still missing
[122/128] 乌达: still missing
[123/128] 迷你乌: still missing
[124/128] 乌拉塔: still missing
[125/128] 地鼠: still missing
[126/128] 遁鼠: still missing
[127/128] 遁地鼠: still missing
[128/128] 绒仙子: still missing

Done! 75 updated, 6 errors
